Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL17,Sun Yat-Sen Memorial Hall,1,國父紀念館站出口1,121.556663,25.041838,,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_1,"exit ""TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_1"" with { short_name ""1"" coords { lat 121.556663; lon 25.041838 } layer 0 }",,,
BL17,Sun Yat-Sen Memorial Hall,2,國父紀念館站出口2,121.556704,25.041029,,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_2,"exit ""TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_2"" with { short_name ""2"" coords { lat 121.556704; lon 25.041029 } layer 0 }",,,
BL17,Sun Yat-Sen Memorial Hall,3,國父紀念館站出口3,121.557981,25.041195,,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_3,"exit ""TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_3"" with { short_name ""3"" coords { lat 121.557981; lon 25.041195 } layer 0 }",,,
BL17,Sun Yat-Sen Memorial Hall,4,國父紀念館站出口4,121.558539,25.04117,,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_4,"exit ""TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_4"" with { short_name ""4"" coords { lat 121.558539; lon 25.04117 } layer 0 }",,,
BL17,Sun Yat-Sen Memorial Hall,5,國父紀念館站出口5,121.558002,25.041501,,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall,TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_5,"exit ""TaiwanStation_GuoFuJiNianGuanSunYatsenMemorialHall_5"" with { short_name ""5"" coords { lat 121.558002; lon 25.041501 } layer 0 }",,,
BL18,Taipei City Hall,1,市政府站出口1,121.565459,25.041408,,TaiwanStation_ShiZhengFuTaipeiCityHall,TaiwanStation_ShiZhengFuTaipeiCityHall_1,"exit ""TaiwanStation_ShiZhengFuTaipeiCityHall_1"" with { short_name ""1"" coords { lat 121.565459; lon 25.041408 } layer 0 }",,,
BL18,Taipei City Hall,2,市政府站出口2,121.565062,25.040971,,TaiwanStation_ShiZhengFuTaipeiCityHall,TaiwanStation_ShiZhengFuTaipeiCityHall_2,"exit ""TaiwanStation_ShiZhengFuTaipeiCityHall_2"" with { short_name ""2"" coords { lat 121.565062; lon 25.040971 } layer 0 }",,,
BL18,Taipei City Hall,3,市政府站出口3,121.567149,25.040903,,TaiwanStation_ShiZhengFuTaipeiCityHall,TaiwanStation_ShiZhengFuTaipeiCityHall_3,"exit ""TaiwanStation_ShiZhengFuTaipeiCityHall_3"" with { short_name ""3"" coords { lat 121.567149; lon 25.040903 } layer 0 }",,,
BL18,Taipei City Hall,4,市政府站出口4,121.567181,25.041263,,TaiwanStation_ShiZhengFuTaipeiCityHall,TaiwanStation_ShiZhengFuTaipeiCityHall_4,"exit ""TaiwanStation_ShiZhengFuTaipeiCityHall_4"" with { short_name ""4"" coords { lat 121.567181; lon 25.041263 } layer 0 }",,,
BL19,Yongchun,1,永春站出口1,121.57512,25.040995,,TaiwanStation_YongChunYongchun,TaiwanStation_YongChunYongchun_1,"exit ""TaiwanStation_YongChunYongchun_1"" with { short_name ""1"" coords { lat 121.57512; lon 25.040995 } layer 0 }",,,
BL19,Yongchun,2,永春站出口2,121.575383,25.040704,,TaiwanStation_YongChunYongchun,TaiwanStation_YongChunYongchun_2,"exit ""TaiwanStation_YongChunYongchun_2"" with { short_name ""2"" coords { lat 121.575383; lon 25.040704 } layer 0 }",,,
BL19,Yongchun,3,永春站出口3,121.576155,25.040704,,TaiwanStation_YongChunYongchun,TaiwanStation_YongChunYongchun_3,"exit ""TaiwanStation_YongChunYongchun_3"" with { short_name ""3"" coords { lat 121.576155; lon 25.040704 } layer 0 }",,,
BL19,Yongchun,4,永春站出口4,121.576574,25.040699,,TaiwanStation_YongChunYongchun,TaiwanStation_YongChunYongchun_4,"exit ""TaiwanStation_YongChunYongchun_4"" with { short_name ""4"" coords { lat 121.576574; lon 25.040699 } layer 0 }",,,
BL19,Yongchun,5,永春站出口5,121.576622,25.040961,,TaiwanStation_YongChunYongchun,TaiwanStation_YongChunYongchun_5,"exit ""TaiwanStation_YongChunYongchun_5"" with { short_name ""5"" coords { lat 121.576622; lon 25.040961 } layer 0 }",,,
BL20,Houshanpi,1,後山埤站出口1,121.58141,25.044422,,TaiwanStation_HouShanPiHoushanpi,TaiwanStation_HouShanPiHoushanpi_1,"exit ""TaiwanStation_HouShanPiHoushanpi_1"" with { short_name ""1"" coords { lat 121.58141; lon 25.044422 } layer 0 }",,,
BL20,Houshanpi,2,後山埤站出口2,121.581854,25.043703,,TaiwanStation_HouShanPiHoushanpi,TaiwanStation_HouShanPiHoushanpi_2,"exit ""TaiwanStation_HouShanPiHoushanpi_2"" with { short_name ""2"" coords { lat 121.581854; lon 25.043703 } layer 0 }",,,
BL20,Houshanpi,3,後山埤站出口3,121.583277,25.045232,,TaiwanStation_HouShanPiHoushanpi,TaiwanStation_HouShanPiHoushanpi_3,"exit ""TaiwanStation_HouShanPiHoushanpi_3"" with { short_name ""3"" coords { lat 121.583277; lon 25.045232 } layer 0 }",,,
BL20,Houshanpi,4,後山埤站出口4,121.582441,25.045653,,TaiwanStation_HouShanPiHoushanpi,TaiwanStation_HouShanPiHoushanpi_4,"exit ""TaiwanStation_HouShanPiHoushanpi_4"" with { short_name ""4"" coords { lat 121.582441; lon 25.045653 } layer 0 }",,,
BL21,Kunyang,1,昆陽站出口1,121.592726,25.050319,,TaiwanStation_KunYangKunyang,TaiwanStation_KunYangKunyang_1,"exit ""TaiwanStation_KunYangKunyang_1"" with { short_name ""1"" coords { lat 121.592726; lon 25.050319 } layer 0 }",,,
BL21,Kunyang,2,昆陽站出口2,121.592825,25.050402,,TaiwanStation_KunYangKunyang,TaiwanStation_KunYangKunyang_2,"exit ""TaiwanStation_KunYangKunyang_2"" with { short_name ""2"" coords { lat 121.592825; lon 25.050402 } layer 0 }",,,
BL21,Kunyang,3,昆陽站出口3,121.59363,25.050599,,TaiwanStation_KunYangKunyang,TaiwanStation_KunYangKunyang_3,"exit ""TaiwanStation_KunYangKunyang_3"" with { short_name ""3"" coords { lat 121.59363; lon 25.050599 } layer 0 }",,,
BL21,Kunyang,4,昆陽站出口4,121.593799,25.050572,,TaiwanStation_KunYangKunyang,TaiwanStation_KunYangKunyang_4,"exit ""TaiwanStation_KunYangKunyang_4"" with { short_name ""4"" coords { lat 121.593799; lon 25.050572 } layer 0 }",,,
BL22,Nangang,1,南港站出口1,121.606357,25.051911,,TaiwanStation_NanGangNangang,TaiwanStation_NanGangNangang_1,"exit ""TaiwanStation_NanGangNangang_1"" with { short_name ""1"" coords { lat 121.606357; lon 25.051911 } layer 0 }",,,
BL22,Nangang,2,南港站出口2,121.60743,25.052025,,TaiwanStation_NanGangNangang,TaiwanStation_NanGangNangang_2,"exit ""TaiwanStation_NanGangNangang_2"" with { short_name ""2"" coords { lat 121.60743; lon 25.052025 } layer 0 }",,,
